artist_name,track_name,release_date,genre,lyrics
Amy Winehouse,Love Is a Losing Game,2007,soul,"For you, I was a flame Love is a losing game Five-story fire as you came Love is a losing game One I wished I never played Oh, what a mess we made And now the final frame Love is a losing game Played out by the band Love is a losing hand More than I could stand Love is a losing hand Self-professed, profound 'Til the chips were down Know you're a gambling man Love is a losing hand Though I battle blind Love is a fate resigned Memories mar my mind Love is a fate resigned Over futile odds And laughed at by the gods And now the final frame Love is a losing game"
Nelly,Dilemma,2002,soul,"I love you And I need you Nelly, I love you I do need you No matter what I do (Woo!) All I think about is you Even when I'm with my boo Boy, you know I'm crazy over you No matter what I do All I think about is you Even when I'm with my boo You know I'm crazy over you I met this chick and she just moved right up the block from me And uh, she got the hots for me The finest thing my hood done seen But oh no, oh no She got a man and a son though But that's okay 'cause I Wait for my cue and just listen, play my position Like a shortstop, pick up e'rything mami hittin' And in no time, I plan to make this one here mine And that's for sure 'cause I I never been the type to break up a happy home, but uh There's somethin' 'bout baby girl I just can't leave alone So tell me, Ma, what's it gonna be? She said: ""You don't know what you mean to me"" (C'mon) No matter what I do (Woo!) All I think about is you (Uh-huh) Even when I'm with my boo Boy, you know I'm crazy over you No matter what I do All I think about is you Even when I'm with my boo You know I'm crazy over you You might also like[Verse 2: Nelly & Kelly Rowland] I see a lot, and you look, and I never say a word I know how niggas start actin' trippin' out here about they girls And there's no way Nelly gon' fight over no dame (I ain't gon' fight over no dame) As you can see, but I I like your steez, your style, your whole demeanor The way you come through and holla And swoop me in his two-seater Now that's gangsta And I got special ways to thank ya Don't you forget it But uh, it ain't that easy for you to pack up and leave him But uh, you and dirty got ties for different reasons I respect that, and right before I turn to leave She said: ""You don't know what you mean to me"" (She said, she said, she said, c'mon) No matter what I do (Woo!) All I think about is you (Uh-huh) Even when I'm with my boo (Yeah) Boy, you know I'm crazy over you (Put your hands up) No matter what I do (Put your hands up) All I think about is you Even when I'm with my boo You know I'm crazy over you Sing it for me, K! And I love you (Word?) and I need you Nelly I love you, I do (Come on, girl) And it's more than you'll ever know Boy, it's for sure You can always count on my love Forevermore, yeah, yeah East Coast, I know you shakin' right Down South, I know you bouncin' right West Coast, I know you walkin' right 'cause You don't know what you mean to me Midwest, I see you swingin' right No matter what I do All I think about is you Even when I'm with my boo Boy, you know I'm crazy over you No matter what I do All I think about is you Even when I'm with my boo You know I'm crazy over you East Coast, I know you shakin' right Down South, I know you bouncin' right West Coast, I know you walkin' right, 'cause You don't know what you mean to me Midwest, I see you swingin' right East Coast, you still shakin' right Down South, I see you bouncin' right West Coast, I know you walkin' right, 'cause You don't know what you mean to me Midwest, I see you swingin' right No matter what I do (Woo!) All I think about is you (Uh-huh) Even when I'm with my boo Boy, you know I'm crazy over you No matter what I do All I think about is you Even when I'm with my boo Boy, you know I'm crazy over you No matter what I do All I think about is you Even when I'm with my boo Boy, you know I'm crazy over you East Coast, I know you shakin' right Down South, I know you bouncin' right West Coast, I know you walkin' right, 'cause You don't know what you mean to me Midwest, I see you swingin' right East Coast, you still shakin' right Down South, I see you bouncin' right West Coast, I know you walkin' right, 'cause You don't know what you mean to me Midwest, I see you swingin' right"
Frank Ocean,Pink Matter,2012,soul,"And the peaches and the mangos That you could sell for me What do you think my brain is made for Is it just a container for the mind? This great grey matter Sensei replied, ""What is your woman? Is she just a container for the child?"" That soft pink matter Cotton candy, Majin Buu, oh, oh, ohh Close my eyes and fall into you, you, you My God, she's giving me pleasure What if the sky and the stars are for show And the aliens are watching live From the purple matter? Sensei went quiet then violent And we sparred until we both grew tired Nothing mattered Cotton candy, Majin Buu, oh, oh, oh, oh Dim the lights and fall into you, you, you My God, giving me pleasure Pleasure, pleasure, pleasure Pleasure over matter Hey, hey Since you been gone, I been having withdrawals You were such a habit to call I ain't myself at all, had to tell myself, ""Naw She better with some fella with a regular job"" I didn't wanna get her involved By dinner Mr. Benjamin was sitting in awe Hopped into my car; drove far Far's too close and I remember my memory's no sharp Butter knife, what a life, anyway I'm building y'all a clock, stop, what am I, Hemingway? She had the kind of body that would probably intimidate Any of 'em that were un-southern, not me, cousin If models are made for modelin' Thick girls are made for cuddlin' Switch worlds and we can huddle then Who needs another friend? I need to hold your hand You'd need no other man, we'd flee to other lands You might also like[Bridge: Frank Ocean] Grey matter Blue used to be my favorite color Now I ain't got no choice Blue matter You're good at being bad, you're bad at being good For heaven's sakes, go to hell, nah, knock on wood, hey You're good at being bad (You're bad at being good) For heaven's sakes, go to hell For heaven's sakes, go to hell Knock, knock, knock, knock on wood Well, frankly, when that ocean so mu'fucking good Make her swab the mu'fucking wood Make her walk the mu'fucking plank Make her rob a mu'fucking bank With no mask on and a rusty revolver"
Cuco,Lover Is a Day,2016,soul,"Time changed, we're different But my mind still says redundant things, can I not think? Will you love this part of me? My lover is a day I can't forget Furthering my distance from you Realistically, I can't leave now But I'm okay as long as you keep me from going crazy Keep me from going crazy Straight up ahead, you'll find a sign That says you can't get by with a lie But if I stayed away by a thread from the glory path And made my life harder lying 'bout the stupid shit I say Then you wouldn't know a single thing About how I feel about you and all those really dumb things people feel I'll take the bumpy road, it'll probably break my legs As long as I don't show you what's ruining my head Funny thing about you is you read me pretty well But you haven't found me yet at the bottom of the well Annoying you with smoke signals, asking you for help 'Cause your immediate presence lifts me straight away from hell Me and Mr. Heart, we say the cutest things about you How you seem unreal and we'd probably die so quick without you Suffocated from the radiated air around us Full of happiness we don't have, brightness gone So dark without you, girl Time changed, we're different But my mind still says redundant things, can I not think? Will you love this part of me? My lover is a day I can't forget Furthering my distance from you Realistically, I can't leave now But I'm okay as long as you keep me from going crazy Keep me from going crazy Family calls me crazy and my friends say I'm degenerate But you tell me I'm so generous and my self-worth isn't hideous This psychedelic canvas of the person I'm becoming Went from horror movie on TV to happy-ending-princess me Processing the information transferred from your mind to me At light speed like the Falcon from the original Star Wars trilogy Feeling like a free ol' me when I was six and no worries Would stop me from reaching the stars A million miles away from me Sick in the head for you and no cure has been discovered Like a plague hitting my body except if I fall, I'm just fallin' for you Conscious beyond knowledge, alterations are acknowledged And the beauty you've inflicted is always in its action Lovely day today, perfect time to open up to you But I know that you're having fun Wouldn't wanna mess this up for you But I'm happy that you're happy, at least I do that much for you Always glad you're with me This emotion will be gone before you know Time changed, we're different But my mind still says redundant things, can I not think? Will you love this part of me? My lover is a day I can't forget Furthering my distance from you Realistically, I can't leave now But I'm okay as long as you keep me from going crazy Keep me from going crazy, girl Time changed, we're different But my mind still says redundant things, can I not think? Will you love this part of me? My lover is a day I can't forget Furthering my distance from you Realistically, I can't leave now But I'm okay as long as you keep me from going crazy Keep me from going crazy"
D’Angelo,Untitled (How Does It Feel),2000,soul,"Girl, it's all on you Have it your way And if you want, you can decide And if you'll have me I can provide everything that you desire If you get a feeling Feeling that I'm feeling Won't you come closer (Mm) to me, baby? (Hey) Girl, you already got me right where you want me, baby I, I just wanna be your man How does it feel? Yeah (Oh) How does it feel ? Yeah, yeah (Said I wanna know, how does it feel?) How does it feel? Yeah (How?) How does it feel? Yeah (Yeah, oh) I wanna stop (Wanna stop) (Playing all) Silly little games you and me play And I am feeling right on If you feel the same way, baby Let me know (Let me know) right away I'd love to make you wet In between your thighs 'cause I love when it comes inside you, mm I get so excited when I'm around you (Oh) Baby (Woah) Oh, ah, oh, baby How does it feel? Yeah (Wanna know how it feels, yeah) How does it feel? Yeah (Said did it ever cross your mind?) How does it feel? Yeah (How, baby? Oh) How does it feel? Yeah (Oh) How does it feel? Yeah (Tell me how it feels, yeah) How does it feel? Yeah (Said it’s been on my mind) How does it feel? Yeah (Oh, oh) How does it feel? Yeah Ooh, long time, uh Said it's been on my mind, yeah Baby, close the door Listen, girl, I've got something I wanna show you All I wanna do Wish you'd open up (Wish you'd open up) 'Cause I wanna take the walls down with you Oh, yeah If you want me to, baby (Yeah) Only if you want me to, baby (Yeah) Baby, baby, baby Ah-ah (Ah) Ah-ah (Ah) Ah, only if you want me to, baby I wanna I wanna lay you down Kiss you all around All around, all around Make you feel Oh-oh Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah How does it feel? (Woo, feel) How does it feel? (Said I gotta know right now, yeah) How does it feel? (Let me take off your clothes and I'll) How does it feel? (I'll-I'll-I'll, I'll-I'll, yeah, yeah, baby) How does it feel? (Wanna take you away from here, baby) How does it feel? (Take you on a little trip back home, yeah) How does it feel? (Do you know what I'm talkin' about, baby?) How does it feel? (Yeah, yeah, yeah, yeah, yeah) How does it feel? (Yeah, yeah) How does it feel? (Yeah, yeah, yeah) (Yeah, yeah, yeah) How does it feel? (Yeah, yeah, yeah) (Yeah, yeah, yeah) How does it feel?"
The Jackson 5,ABC,1970,soul,"A buh-buh buh buh A buh-buh buh buh You went to school to learn, girl Things you never, never knew before Like ""I before E, except after C"" And why two plus two makes four Now now now, I'm gonna teach you (Teach you, teach you) All about love, yeah! (All about love!) Sit yourself down, take a seat All you gotta do is repeat after me A, B, C Easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby you and me, girl! A, B, C Easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby you and me, girl! Come on, let me love you just a little bit! Come on, let me love you just a little bit! I'ma gonna teach how to sing it out! Come on, come on, come on Let me show you what it's all about! Reading, writing, arithmetic Are the branches of the learning tree But without the roots of love every day, girl Your education ain't complete T-t-t-teachers gonna show you (Show you, show you) How to get an ""A""! (Nyah nyah nyah nyah!) Spell me, you (You add the two) Listen to me baby, that's all you gotta do! You might also like[Chorus: Michael Jackson] A, B, C It's easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby you and me, girl! A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be Now, that's how easy love can be Sing a simple melody 1, 2, 3, you and me (Yeah) Sit down, girl! I think I love you! No! Get up, girl! Show me what you can do! Shake it, shake it, baby, come on now! Shake it, shake it, baby, ooh-ooh! Shake it, shake it, baby, huh! 1, 2, 3, baby, ooh-ooh A, B, C, baby, nah nah! Do-Re-Mi, baby, huh! That's how easy love can be A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be That's how easy love can be I'm-a gonna teach you how to sing it out! Come on, come on, come on Let me show you what it's all about! A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be I'ma gonna teach you how to sing it out, sing it out, sing it out! (Oh! Oh! Oh, baby!) A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy..."
Frank Ocean,At Your Best (You Are Love),2015,soul,"When I feel what I feel Sometimes it's hard to tell you so You may not be in the mood to learn What you think you know There are times when I find You wanna keep yourself from me When I don't have the strength I'm just a mirror of what I see But at your best, you are love You're a positive motivating force within my life If you ever feel the need to wonder why Let me know, let me know Love When you feel what you feel It's hard for me to understand So many things have taken place before this love affair began But if you feel more like I feel Confusion can give way to doubt For there are times when I fall short of what I say What I say I'm all about, all about But at your best, you are love You're a positive motivating force within my life Should you ever feel the need to wonder why Let me know, let me know Love (Wait, waiting) Let me know You niggas goin' in Tell me what it is (Fuck it) What it is, no need to make believe Look beyond your world Try to find, find a place for me 'Cause when you're at your best, you are love You're a positive motivating force within my life Should you ever feel the need to wonder why Let me know, let me know Let me know, know Love Stay at your best, baby Let me know, let me know"
Kendrick Lamar,Ronald Reagan Era (His Evils),2011,soul,"We're far from good, not good from far Ninety miles per hour down Compton Boulevard With the top down, screamin', ""We don't give a fuck"" Drink my forty-ounce of freedom while I roll my blunt 'Cause the kids just ain't alright Oh shit, nigga Somethin' 'bout to happen Nigga, this shit, nigga, this sound like thirty keys under the Compton court building Hope the dogs don't smell it Welcome to vigilante, '80s, so don't you ask me I'm hungry, my body's antsy, I rip through your fuckin' pantry Peelin' off like a Xanny, examine my orchestra Granny said when I'm old enough, I'll be sure to be all I can be You niggas Marcus Camby, washed up Pussy, fix your panties, I'm Mr. Marcus, you gettin' fucked, uh You ain't heard nothin' harder since Daddy Kane Take it in vain, Vicodins couldn't ease the pain Lightning bolts hit your body, you thought it rained Not a cloud in sight, just the shit that I write Strong enough to stand in front of a travelin' freight train, are you trained? To go against Dracula, draggin' the record industry by my fangs AK clips, money clips, and gold chains You walk around with a P90 like it's the '90s Bullet to your temple, your homicide'll remind me That Compton Crip niggas ain't nothin' to fuck with Bompton Pirus ain't nothin' to fuck with Compton éses ain't nothin' to fuck with But they fuck with me, and bitch, I love it Woop-di-woop, woop-di-woop-woop, woop-di-woop Woop-di-woop, woop-di-woop-woop (California Dungeons) Woop-di-woop, woop-di-woop-woop, woop-di-woop Woop-di-woop, woop-di-woop-woop (California Dungeons) You might also like[Verse 2: Kendrick Lamar] Let's hit the county buildin', gotta cash my check Spend it all on a forty-ounce to the neck And in retrospect, I remember December being the hottest Squad cars, neighborhood wars, and stolen Mazdas I tell you motherfuckers that life is full of hydraulics Up and down, get a six-four, better know how to drive it I'm drivin' on E with no license or registration Heart racin', racin' past Johnny because he's racist 1987, the children of Ronald Reagan Rake the leaves off your front porch with a machine blowtorch (I'm really out here, my nigga) He blowin' on stress, hopin' to ease the stress (Like, really out here) He coppin' some blow, hopin' that it can stretch Newborn massacre Hoppin' out the passenger with calendars 'cause your day comin' Run him down and then he gun him down, I'm hopin' that you fast enough Even the legs of Michael Johnson don't mean nothin', because Compton Crip niggas ain't nothin' to fuck with Bompton Pirus ain't nothin' to fuck with Compton éses ain't nothin' to fuck with But they fuck with me, and bitch, I love it Woop-di-woop, woop-di-woop-woop, woop-di-woop Woop-di-woop, woop-di-woop-woop (California Dungeons) Woop-di-woop, woop-di-woop-woop, woop-di-woop Woop-di-woop, woop-di-woop-woop (California Dungeons) Can't detour when you at war with your city, why run for it? Just ride with me, just die with me, that gun store right there When you fight, don't fight fair, 'cause you'll never win (Right, I had the yopper, and I tore they ass up) Can't detour when you at war with your city, why run for it? Just ride with me, just die with me, that gun store right there When you fight, don't fight fair, 'cause you'll never win, yeah, yeah, yeah Woah, woah, woah-woah-woah-woah Woah, woah, woah-woah-woah-woah Woah, woah, woah-woah-woah-woah Woah, woah, woah-woah-woah-woah We really out here, my nigga You niggas don't understand, my nigga I'm off a pill and Rémy Red, my nigga Trippin', my nigga"
Macklemore & Ryan Lewis,White Privilege II,2016,soul,"Pulled into the parking lot, parked it Zipped up my parka, joined the procession of marchers In my head like, ""Is this awkward? Should I even be here marching?"" Thinking if they can't, how can I breathe? Thinking that they chant, what do I sing? I want to take a stance 'cause we are not free And then I thought about it, we are not ""we"" Am I in the outside looking in, or am I in the inside looking out? Is it my place to give my two cents? Or should I stand on the side and shut my mouth? ""No justice, no peace,"" okay, I'm saying that They're chanting out, ""Black Lives Matter,"" but I don't say it back Is it okay for me to say? I don't know, so I watch and stand In front of a line of police that look the same as me Only separated by a badge, a baton, a can of Mace, a mask A shield, a gun with gloves and hands that gives an alibi In case somebody dies behind a bullet that flies out of the 9 Takes another child's life on sight, bam! *Gunshot* Blood in the streets, no justice, no peace No racist beliefs, no rest 'til we're free There's blood in the streets, no justice, no peace No racist beliefs, no rest 'til we're free Blood in the streets, no justice, no peace No racist beliefs, no rest 'til we're free There's blood in the streets, no justice, no peace No racist beliefs, no rest 'til we're free Blood in the streets, no justice, no peace No racist beliefs, no rest 'til we're free There's blood in the streets, no justice, no peace No racist beliefs, no rest 'til we're free ""Oh, what are you doing Ben? What are you doing here?"" ""Probably shouldn't be here, you have white supremacy, don't fuckin' come here. — Culture Vulture! — ('Black Lives Matter,' say it.) — Wow. — ('Black Lives Matter, Black Lives Matter, Black Lives Matter, Black Lives Matter.') — You should not have done that. Why the fuck would you do that? — (What are you doing here?) — You always react. Just let it go, man. — White racist. — It's the Grammys!"" ""Ben, think about it."" You've exploited and stolen the music, the moment The magic, the passion, the fashion, you toy with The culture was never yours to make better You're Miley, you're Elvis, you're Iggy Azalea Fake and so plastic, you've heisted the magic You've taken the drums and the accent you rapped in Your brand of hip-hop, it's so fascist and backwards That Grandmaster Flash'd go slap it, you bastard All the money that you made Of the watered-down, pop-bullshit version of the culture, pal Go buy a big-ass lawn, go with your big-ass house Get a big-ass fence, keep people out It's all stolen, anyway, can't you see that now? There's no way for you to even that out You can join the march, protest, scream and shout Get on Twitter, hashtag, and seem like you're down But they see through it all, people believe you now? You said publicly, ""Rest in peace, Mike Brown"" You speak about equality, but do you really mean it? Are you marching for freedom, or when it's convenient? Want people to like you, want to be accepted That's probably why you are out here protesting Don't think for a second you don't have incentive Is this about you, well, then what's your intention? What's the intention? What's the intention? You might also like[Interlude 2: Protesters] ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Hands up? Don't shoot!"" ""Pssst, I totally get it, you're by yourself And the last thing you wanna do is take a picture But seriously, my little girl loves you She's always singing, 'I'm gonna pop some tags' I'm not kidding, my oldest, you even got him to go thrifting And 'One Love,' oh my God, that song, brilliant Their aunt is gay, when that song came out My son told his whole class he was actually proud That's so cool, look what you're accomplishing Even an old mom like me likes it, 'cause it's positive You're the only hip-hop that I let my kids listen to 'Cause you get it, all that negative stuff it isn't cool"" Yeah? ""Yeah, like, all the guns and the drugs The bitches and the hoes and the gangs and the thugs Even the protest outside, so sad, and so dumb If a cop pulls you over, it's your fault if you run"" Huh? ""So, they feel that the police are discriminating against the... the black people? — I have an advantage? Why? 'Cause I'm white? (laughs) What? (laughs) No. — See, more people nowadays are just pussies. Like, this is the generation to be offended by everything. — 'Black Lives Matter' thing is a reason to take arms up over perceived slights. — I'm not prejudiced, I just... — 99% of the time, across this country, the police are doing their job properly."" Damn, a lot of opinions, a lot of confusion, a lot of resentment Some of us scared, some of us defensive And most of us aren't even paying attention It seems like we're more concerned with being called racist Than we actually are with racism I've heard that silences are action and God knows that I've been passive What if I actually read a article, actually had a dialogue Actually looked at myself, actually got involved? If I'm aware of my privilege and do nothing at all, I don't know Hip-hop has always been political, yes It's the reason why this music connects So what the fuck has happened to my voice if I stay silent when black people are dying And I'm trying to be politically correct? I can book a whole tour, sell out the tickets Rap entrepreneur, built his own business If I'm only in this for my own self-interest Not the culture that gave me a voice to begin with And this isn't authentic, it is just a gimmick The DIY underdog, so independent But the one thing the American dream fails to mention Is I was many steps ahead to begin with My skin matches the hero, likeness, the image America feels safe with my music in their systems And it suited me perfect, the role, I fulfilled it And if I'm the hero, you know who gets cast as the villain White supremacy isn't just a white dude in Idaho White supremacy protects the privilege I hold White supremacy is the soil, the foundation, the cement and the flag that flies outside of my home White supremacy is our country's lineage, designed for us to be indifferent My success is the product of the same system that let off Darren Wilson – guilty We wanna dress like, walk like, talk like, dance like, yet we just stand by We take all we want from black culture, but will we show up for black lives? We wanna dress like, walk like, talk like, dance like, yet we just stand by We take all we want from black culture, but will we show up for black lives? ""Black Lives Matter, to use an analogy, is like if... if there was a subdivision and a house was on fire. The fire department wouldn't show up and start putting water on all the houses because all houses matter. They would show up and they would turn their water on the house that was burning because that's the house that needs the help the most. — My generation's taken on the torch of a very age-old fight for black liberation, but also liberation for everyone. Injustice anywhere is still injustice everywhere. — The best thing white people can do is talk to each other, having those very difficult, very painful conversations with your parents, with your family members. — I think one of the critical questions for white people in this society is, 'What are you willing to risk? What are you willing to sacrifice to create a more just society?'"" Your silence is a luxury, hip-hop is not a luxury Your silence is a luxury, hip-hop is not a luxury Your silence is a luxury, hip-hop is not a luxury Your silence is a luxury, hip-hop is not a luxury What I got for me, it is for me What we made, we made to set us free What I got for me, it is for me What we made, we made to set us free What I got for me, it is for me What we made, we made to set us free"
James Blake,Retrograde,2013,soul,You're on your own In a world you've grown Few more years to go Don't let the hurdle fall So be the girl you loved Be the girl you loved I'll wait So show me why you're strong Ignore everybody else We're alone now I'll wait So show me why you're strong Ignore everybody else We're alone now Suddenly I'm hit It's the starkness of the dawn And your friends are gone And your friends won't come So show me where you fit So show me where you fit I'll wait So show me why you're strong Ignore everybody else We're alone now (We're alone now) I'll wait (We're alone now) (We're alone now) (We're alone now) I'll wait (We're alone now) (We're alone now) (We're alone now) (We're alone now) (We're alone now) Suddenly I'm hit (Uuuuuhhhh) It's the starkness of the dawn And your friends are gone And your friends won't come So show me where you fit So show me where you fit
Bryson Tiller,For However Long,2015,soul,"Bless up There's some bad bitches out there that I really wanna sex up They'll probably only let me fuck cause I'm next up Got me feeling like a nigga now, yessir Running through 'em, looking for a down bitch It's like looking for them hitters on SoundClick Hoping someone else ain't already killed it Wait up, for real, you exclusive? I found it Baby, say it's true I don't wanna have to wait on you These are things I gotta say to you Make me feel irreplaceable, baby Cause I can't call it You fuck with other niggas, I won't even bother Young poppa, tell 'em who taught you Let me put my stamp on it, let me crop all them other niggas Out the picture, I say fuck them other niggas Won't you say it with me? My homeboy left the crib to me, baby, you should stay with me For as long as I'm here, baby that's okay with me For as long you want, baby that's okay with me For as long you want, baby that's okay with me How does it sound? Sound? Fuck it girl, come spend the night with me Say whatever, just don't lie to me Stepping out, know I want you on the side of me Mama, you could come work, full-time with me Roll through in the Bimmer, get inside 'Til the wheels fall off, that's how long you can ride with me Yeah, that's word to Stephen Garrett, come ride with me (Yeah yeah) Say it one more time for you These are things I gotta say to you Make me feel irreplaceable Yeah yeah"
Drake,Tuscan Leather,2013,soul,"Yeah Alright, yeah Comin' off the last record I'm gettin' twenty million off the record Just to off these records, nigga, that's a record I'm livin' like I'm out here on my last adventure Past the present when you have to mention This is nothin' for the radio, but they'll still play it though 'Cause it's that new Drizzy Drake, that's just the way it go Heavy airplay all day with no chorus We keep it thorough, nigga Rap like this for all of my borough niggas I reached the point where don't shit matter to me, nigga I reached heights that Dwight Howard couldn't reach, nigga Prince Akeem, they throw flowers at my feet, nigga I could go a hour on this beat, nigga Yeah, I'm just as famous as my mentor But that's still the boss, don't get sent for Get hype on tracks and jump in front of a bullet you wasn't meant for 'Cause you don't really wanna hear me vent more Hot temper, scary outcome Here's a reason for niggas that's hatin' without one That always let they mouth run Bench players talkin' like starters, I hate it Started from the bottom, now we here, nigga, we made it Yeah, Tom Ford Tuscan Leather smellin' like a brick Degenerates, but even Ellen love our shit Rich enough that I don't have to tell 'em that I'm rich Self-explanatory, you just here to spread the story Wassup? Sittin' Gucci Row like they say up at UNLV Young rebel, Young Money, nothin' you could tell me Paperwork takin' too long, maybe they don't understand me I'll compromise if I have to, I gotta stay with the family Not even talkin' to Nicki, communication is breakin' I dropped the ball on some personal shit, I need to embrace it I'm honest, I make mistakes, I'd be the second to admit it Think that's why I need her in my life, to check me when I'm trippin' On a mission, tryna shift the culture Tell me who dissin', I got some things that'll hit the culprit Them strep throat flows, them shits to stop all of the talkin' All of the talkin', got one reply for all of your comments Fuck what you think, I'm too busy, that's why you leave a message Born a perfectionist, guess that makes me a bit obsessive That shit I heard from you lately really relieved some pressure Like ayy, B, I got your CD, you get an E for effort I piece letters together and get to talkin' reckless Owl chains like credentials, you know you see the necklace My life's a completed checklist I'm tired of hearin' 'bout who you checkin' for now Just give it time, we'll see who's still around a decade from now That's real How much time is this nigga spendin' on the intro? Lately I've been feelin' like Guy Pearce in Memento I just set the bar, niggas fall under it like a limbo The family all that matters, I'm just out here with my kinfolk Off everything my pen wrote, we went from Bundy to Winslow This for shorty up on Glengrove who love when I catch my tempo I sip the Pora and listen to Cappadonna (Talk to 'em) The fresh prince, just had dinner with Tatyana, no lie All these nineties fantasies on my mind The difference is that with mine, they all come true in due time I might come through without security to check if you're fine That's just me on my solo like ""Fuck it"", like ""YOLO"" Wanted to tell you, ""Accept yourself"" You don't have to prove shit to no one except yourself And if you end up needin' some extra help, then I could help You know, back on your feet and shit Tryna get my karma up, fuck the guilty and greedy shit How much time is this nigga spendin' on the intro? How this nigga workin' like he got a fuckin' twin though? Life is soundin' crazy, 40 on Martin Scorsese And I wouldn't change a thing if you paid me Now real nigga, wassup? Ayy, yeah, ayy How much time is this nigga spendin' on the intro? You might also like[Spoken Outro: Curtis Mayfield] If there's hell below, I'll see you when you get there Are you enjoyin' yourselves? If we may, we would just like to close off with somethin' a bit inspirational Hopefully something a bit relevant as to us all are having the same fears, shedding similar tears, and of course dying in so many years It don't mean that we can't have a good life So we'd like to just maybe close out with something, some food for thought, for all of us"
Tevin Campbell,Can We Talk?,1993,soul,"Last night I, I saw you standing And I started, started pretending That I knew you, and you knew me, too And just like a Roni, you were too shy But you weren't the only 'cause so was I And I dreamed of you ever since Now I build up my confidence Girl, next, next time you come my way I'll know just what to say Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name I started to write you letters But I wanted to be more clever I wanted to get down and sweet talk you Hey, baby But just like a baby, I could not talk And I tried to come closer, but could not walk And I think of it every night How I just could not get it right, oh If we ever come close again I'll know what I'll say then, yeah Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Oh, girl One more chance with you again I will not let it go! Oh, please give me just one more chance for love, love, love, love Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Can we talk? I wanna talk to my baby Come on and talk to me, baby Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Can we talk? Come on and talk to me, baby See, I wanna know You better tell me your name, baby Can we talk for a minute? I wanna know, I wanna know I want to know your name Can we talk for a minute?"
The Jackson 5,I Want You Back,1969,soul,"Uh-huh huh huh huh Let me tell ya now Uh-huh When I had you to myself, I didn't want you around Those pretty faces always made you stand out in a crowd But someone picked you from the bunch, one glance was all it took Now it's much too late for me to take a second look Oh, baby, give me one more chance (To show you that I love you) Won't you please let me (Back in your heart) Oh, darlin', I was blind to let you go (Let you go, baby) But now since I see you in his arms (I want you back) Yes, I do now (I want you back) Ooh, ooh, baby (I want you back) Yeah, yeah, yeah, yeah (I want you back) Na, na, na, na Tryin' to live without your love is one long sleepless night Let me show you, girl, that I know wrong from right Every street you walk on I leave tear stains on the ground Following the girl, I didn't even want around Let me tell you now Oh, baby, all I need is one more chance (To show you that I love you) Won't you please let me (Back in your heart) Oh, darlin', I was blind to let you go (Let you go, baby) But now since I see you in his arms, uh-huh A buh buh buh buh A buh buh buh buh, all I want A buh buh buh buh, all I need A buh buh buh buh, all I want A buh buh buh buh, all I need You might also like[Chorus 2: Jermaine Jackson, Michael Jackson & Jackson 5] Oh, just one more chance To show you that I love you Baby! Baby! Baby! Baby! Baby! Baby! I want you back Forget what happened then I want you back Let me live again Oh, baby, I was blind to let you go But now since I see you in his arms I want you back Spare me of this 'cause Gimme back what I lost Oh baby I need one more chance ha I tell ya that I love you (Baby!) Oh! (Baby!) Oh! (Baby!) Oh! I want you back! Forget what happened then I want you back! And let me live again Oh, I want you back! Ha!"
